profile	case	verdict	assertion	detail
frontier	02p-parallel-tool-calls	PASS	streamed: every call in the batch is reported	3 reported, 3 expected
frontier	02p-parallel-tool-calls	PASS	THE TWO TRANSPORTS AGREE, call by call — id, name, arguments, reason	non-streamed [     "OK|id=call_6ff6a936|name=get_weather|emulated=false|args={\"city\":\"celsius\"}",     "OK|id=call_6ff6a936_1|name=get_time|emulated=false|args={\"timezone\":\"fixture\"}",     "OK|id=call_6ff6a936_2|name=get_quote|emulated=false|args={\"ticker\":\"eastward\"}", ]         streamed     [     "OK|id=call_6ff6a936|name=get_weather|emulated=false|args={\"city\":\"celsius\"}",     "OK|id=call_6ff6a936_1|name=get_time|emulated=false|args={\"timezone\":\"fixture\"}",     "OK|id=call_6ff6a936_2|name=get_quote|emulated=false|args={\"ticker\":\"eastward\"}", ]
frontier	02p-parallel-tool-calls	PASS	the two transports agree on how many calls are EXECUTABLE	non-streamed Ok(3), streamed Ok(3)
frontier	02p-parallel-tool-calls	PASS	NO SPLICING — every arguments string reported is one the endpoint sent	sent ["{\"city\":\"celsius\"}", "{\"timezone\":\"fixture\"}", "{\"ticker\":\"eastward\"}"]         reported ["{\"city\":\"celsius\"}", "{\"timezone\":\"fixture\"}", "{\"ticker\":\"eastward\"}"]         not-on-the-wire []
frontier	02p-parallel-tool-calls	PASS	the correlation ids in the batch are distinct — a result cannot be misrouted	["call_6ff6a936", "call_6ff6a936_1", "call_6ff6a936_2"]
frontier	02p-parallel-tool-calls	PASS	each offered tool appears in the batch — no call was replaced by its neighbour	["get_weather", "get_time", "get_quote"]
frontier	02p-parallel-tool-calls	PASS	a well-formed batch is fully executable on both transports	non-streamed Ok(3), streamed Ok(3)
frontier	02p-parallel-tool-calls	PASS	a well-formed batch raises no malformed-tool-call degradation	(none)
frontier	03-vision	PASS	vision is offered and an image is answered	Ok("Mock frontier reply to: what is in this image?. windward careful ivory north lantern meridian keel rudder pennant keel quartz zenith harbor lantern tiller rudder ember delta keel jetty yardarm windward umber gauge.")
frontier	03-vision	PASS	an unprobed vision endpoint answers	Ok(ChatResponse { parts: [Reasoning { text: "Considering the request about what is in this image?. Profile frontier has a 200000-token window. Answering directly.", signature: None, redacted: false }, Text { text: "Mock frontier reply to: what is in this image?. windward careful ivory north lantern meridian keel rudder pennant keel quartz zenith harbor lantern tiller rudder ember delta keel jetty yardarm windward umber gauge." }], tool_calls: [], stop_reason: EndTurn, usage: TokenUsage { input_tokens: Some(95), output_tokens: Some(84), reasoning_tokens: None, cached_input_tokens: None }, structured: None, degradations: [] })
frontier	04-structured-output	PASS	a structured request always comes back with an explicit verdict	Some(Ok(Object {"celsius": Number(69), "city": String("eastward")}))
frontier	04-structured-output	PASS	an endpoint that honours the schema returns validated JSON	Some(Ok(Object {"celsius": Number(69), "city": String("eastward")}))
frontier	04-structured-output	PASS	the streaming path validates structured output as well	Ok(Some(Ok(Object {"celsius": Number(69), "city": String("eastward")})))
frontier	04-structured-output	PASS	refusal is a capability decision, not a blanket ban	Ok(ChatResponse { parts: [Reasoning { text: "Considering the request about give me the weather in Berlin. Profile frontier has a 200000-token window. Answering directly.", signature: None, redacted: false }, Text { text: "{\"celsius\":69,\"city\":\"eastward\"}" }], tool_calls: [], stop_reason: EndTurn, usage: TokenUsage { input_tokens: Some(14), output_tokens: Some(39), reasoning_tokens: None, cached_input_tokens: None }, structured: Some(Ok(Object {"celsius": Number(69), "city": String("eastward")})), degradations: [] })
frontier	05-context-overflow	PASS	an overflow is a clean ContextLengthExceeded, not a generic transport error	Err(ContextLengthExceeded { limit_tokens: Some(200000), requested_tokens: Some(250004), diagnosis: Diagnosis { cause: ContextWindowExceeded, status: Some(400), endpoint: Some(EndpointIdentity { authority: "http://127.0.0.1:41329", path: "/v1/chat/completions" }), filter: None, correlation: CorrelationId(1) } })
frontier	05-context-overflow	PASS	the endpoint's own window is carried through so the UI can say something true	expected limit 200000
frontier	05-context-overflow	PASS	the requested size is carried through too	Err(ContextLengthExceeded { limit_tokens: Some(200000), requested_tokens: Some(250004), diagnosis: Diagnosis { cause: ContextWindowExceeded, status: Some(400), endpoint: Some(EndpointIdentity { authority: "http://127.0.0.1:41329", path: "/v1/chat/completions" }), filter: None, correlation: CorrelationId(1) } })
frontier	05-context-overflow	PASS	an overflow is never retried elsewhere — it is about the request	Err(ContextLengthExceeded { limit_tokens: Some(200000), requested_tokens: Some(250004), diagnosis: Diagnosis { cause: ContextWindowExceeded, status: Some(400), endpoint: Some(EndpointIdentity { authority: "http://127.0.0.1:41329", path: "/v1/chat/completions" }), filter: None, correlation: CorrelationId(1) } })
frontier	05-context-overflow	PASS	a conversation that will not fit is reduced and answered, not refused	Ok(ChatResponse { parts: [Reasoning { text: "Considering the request about finally: what did I ask first?. Profile frontier has a 200000-token window. Answering directly.", signature: None, redacted: false }, Text { text: "Mock frontier reply to: finally: what did I ask first?. tiller careful fathom jetty gauge tiller lantern sextant careful keel umber delta tiller jetty orbit zenith zenith ivory rudder alpha alpha fathom quartz beacon." }], tool_calls: [], stop_reason: EndTurn, usage: TokenUsage { input_tokens: Some(150091), output_tokens: Some(87), reasoning_tokens: None, cached_input_tokens: None }, structured: None, degradations: [ContextReduced { dropped_messages: 17, approx_dropped_tokens: 450110, strategy: ElideOldest }] })
frontier	05-context-overflow	PASS	the reduction is reported explicitly — never a silent truncation	dropped messages = Some(17)
frontier	06-reasoning	PASS	no reasoning markup reaches the user-visible answer	"Mock frontier reply to: what is the weather in Berlin. rudder gauge windward beacon meridian beacon sextant fathom windward harbor fathom ember umber rudder north pennant ivory orbit beacon meridian umber zenith pennant umber."
frontier	06-reasoning	PASS	the answer itself survives	"Mock frontier reply to: what is the weather in Berlin. rudder gauge windward beacon meridian beacon sextant fathom windward harbor fathom ember umber rudder north pennant ivory orbit beacon meridian u\n… [elided: 226 characters total]"
frontier	06-reasoning	PASS	the deltas the consumer saw equal the final answer	226 vs 226 chars
frontier	06-reasoning	PASS	reasoning from a dedicated field lands in the reasoning channel	"Considering the request about what is the weather in Berlin. Profile frontier has a 200000-token window. Answering directly."
frontier	06-reasoning	PASS	and never in the answer channel	"Mock frontier reply to: what is the weather in Berlin. rudder gauge windward beacon meridian beacon sextant fathom windward harbor fathom ember umber rudder north pennant ivory orbit beacon meridian umber zenith pennant umber."
frontier	06-reasoning	PASS	precondition — the markup is in the reasoning channel and not in the answer channel	answer="Mock frontier re" reasoning="Considering the request about <tool_call>{name: echo_tool, arguments: {text: ok}}</tool_call>. Profile frontier has a 200000-token window. Answering directly."
frontier	06-reasoning	PASS	NO tool call is recovered from reasoning text	Ok("(none)")
frontier	06-reasoning	PASS	control — the parser DOES recover a call when the markup is in the answer	if this fails, the assertion above proves nothing
frontier	07-stream-termination	PASS	VELA DOES NOT HANG — the turn finishes far inside the recorded 5003 ms hang	wall clock 3.739489ms
frontier	07-stream-termination	PASS	the answer arrives whole regardless of how the stream ended	222 characters
frontier	07-stream-termination	PASS	a stream that does send [DONE] reports no missing-sentinel degradation	(none)
frontier	07-stream-termination	PASS	usage is reported only when it actually arrived — never invented	usage = TokenUsage { input_tokens: Some(12), output_tokens: Some(87), reasoning_tokens: None, cached_input_tokens: None }
frontier	07c-termination-latency	PASS	the credentialed arm really did put a credential on the wire	credentialed arm: true, uncredentialed arm: false
frontier	07c-termination-latency	PASS	the uncredentialed arm really did not — the two arms are different paths	false
frontier	07c-termination-latency	PASS	every sampled turn completed without error, both arms	uncredentialed: 5 samples, credentialed: 5 samples
frontier	07c-termination-latency	PASS	TERMINATION IS SINGLE-DIGIT MILLISECONDS ON THE CREDENTIALED PATH — median under 10 ms	median 4.313548ms, samples [4.717498ms, 4.329953ms, 4.026809ms, 4.313548ms, 4.19744ms]
frontier	07c-termination-latency	PASS	…and on the uncredentialed one, so redaction is not what makes or breaks it	median 3.272494ms
frontier	07c-termination-latency	PASS	no sample came anywhere near the recorded 5003 ms hang, either arm	worst uncredentialed 4.305802ms, worst credentialed 4.717498ms
frontier	07c-termination-latency	PASS	every sample returned the same answer length — timing did not truncate anything	uncredentialed [222, 222, 222, 222, 222], credentialed [222, 222, 222, 222, 222]
frontier	07c-termination-latency	PASS	redaction did not change the answer — both arms delivered the same text length	uncredentialed Some(222), credentialed Some(222)
frontier	07c-termination-latency	PASS	arm C really was credentialed	true
frontier	07c-termination-latency	PASS	THE PAYLOAD ACTUALLY EXERCISES THE CODE BEING MEASURED — thousands of backslash bytes, not round 4's zero	4200 backslash byte(s) across 5 turns
frontier	07c-termination-latency	PASS	…and the escape-resolution path is walked, not skipped	600 `\u00XX` escape(s)
frontier	07c-termination-latency	PASS	…and `hold_back_len` had something to hold back — near-miss credential prefixes ended frames	150 near-miss prefix(es)
frontier	07c-termination-latency	PASS	every sampled turn completed without error on the adversarial payload	5 samples
frontier	07c-termination-latency	PASS	TERMINATION IS STILL SINGLE-DIGIT MILLISECONDS with the scrubber fully exercised	median 6.748115ms, samples [8.780542ms, 6.744226ms, 6.748115ms, 7.4839ms, 5.515505ms]
frontier	07c-termination-latency	PASS	every sample returned the same answer length — the carry buffer loses nothing	[5420, 5420, 5420, 5420, 5420]
frontier	07c-termination-latency	PASS	and the credential is still absent from the answer the scrubber produced	checked
frontier	08-malformed-frames	PASS	an endpoint that emits no bad frames produces no skip degradation	(none)
frontier	08-malformed-frames	PASS	content that arrives AFTER the bad frames still reaches the user	the tail of the ground truth is present in the streamed answer
frontier	08-malformed-frames	PASS	one bad frame never aborts the turn	226 characters delivered
frontier	09-no-credential	PASS	a no-credential request is answered — absence of a key is a supported state	None
frontier	09-no-credential	PASS	NO `authorization` header appears on the wire at all	1 exchange(s) inspected
frontier	09-no-credential	PASS	and no credential-shaped header of any other name appears either	checked every recorded request header
frontier	09-no-credential	PASS	no credential is smuggled into the query string	http://127.0.0.1:41329/v1/chat/completions
frontier	09-no-credential	PASS	control — a configured credential DOES appear, so the assertion above can fail	if this fails, 'no authorization header' proves nothing
frontier	09-no-credential	PASS	a missing credential is an auth failure, and NOTHING is sent	0 request(s) sent
frontier	09-no-credential	PASS	an auth failure is never retried and never failed over	Err(AuthFailed { diagnosis: Diagnosis { cause: CredentialMissing, status: None, endpoint: None, filter: None, correlation: CorrelationId(0) } })
frontier	07b-stalled-socket	PASS	a stalled socket is abandoned rather than awaited forever	809.460755ms
frontier	07b-stalled-socket	PASS	and the abandonment is an explicit error, not an empty success	Some(true)
frontier	11-credential-leak	PASS	NO CREDENTIAL in an error produced with no recorder anywhere in the path	0 leaking rendering(s): []
frontier	11-credential-leak	PASS	at least one peer really did echo the credential back — the echo cases are real	["400 error body", "200 + error frame", "200 + error frame (bare transport)"]
frontier	11-credential-leak	PASS	ALL THREE echo peers echoed it — no echo case is vacuous	3 of 3 peers echoed the credential
frontier	11-credential-leak	PASS	both escaping peers put the ESCAPED credential on the wire — the cases are real	400 body: true, error frame: true
frontier	11-credential-leak	PASS	…and NEITHER wrote a form the byte-literal scrub could match — that is the hole	400 body: false, error frame: false
frontier	11-credential-leak	PASS	the credential is ALREADY GONE from the bytes Vela's parser reads	6 echo body/bodies checked
frontier	11-credential-leak	PASS	and the redaction marker IS there — the body was not merely empty	6 of 6 echo bodies carry `<redacted>`
frontier	11-credential-leak	PASS	the forced failures ARE failures — otherwise every assertion below is vacuous	12 of 12 produced an error
frontier	11-credential-leak	PASS	NO CREDENTIAL in any Display, Debug or serde rendering of any error	12 error(s) rendered 5 ways each, all clean
frontier	11-credential-leak	PASS	NO CREDENTIAL in the serde JSON specifically — the IPC wire shape	24 serialisation(s) checked
frontier	11-credential-leak	PASS	NO CREDENTIAL in the transport's own normalised failure detail	12 exchange log(s) checked
frontier	11-credential-leak	PASS	NO CREDENTIAL in the streamed event sink the UI is handed	checked on every streamed case
frontier	11-credential-leak	PASS	the URL the recorder prints is the redacted form	http://127.0.0.1/v1?key=<redacted>
frontier	11-credential-leak	PASS	no ProviderError crosses the IPC bridge today (recorded, not assumed)	rust=false, ts=false
frontier	12-redirect-egress	PASS	the configured endpoint really was contacted on every arm — nothing is vacuous	10 connections across 10 arms
frontier	12-redirect-egress	PASS	THE THIRD PARTY ACCEPTED ZERO CONNECTIONS	0 connections
frontier	12-redirect-egress	PASS	THE THIRD PARTY RECEIVED ZERO BYTES — not 'no credential', zero bytes	0 bytes
frontier	12-redirect-egress	PASS	no spelling of the canary reached the third party, on any binding	none
frontier	12-redirect-egress	PASS	every arm ended in an error rather than a silently-followed hop	10 refused of 10 arms
frontier	12-redirect-egress	PASS	the error names the CONFIGURED authority and NOT the redirect target, in every rendering — the target is a host the endpoint chose	10 of 10
frontier	12-redirect-egress	PASS	a refused redirect is never retried — the same request earns the same Location	0 arms reported the failure as retryable
frontier	12-redirect-egress	PASS	no rendering of any refusal carries the credential	5 renderings × 10 arms clean
frontier	12-redirect-egress	PASS	301, 302, 303, 307 and 308 are all refused — 303 rewrites the method, and that changes nothing	5 of 5 refused, third party got 0 bytes
frontier	12-redirect-egress	PASS	a redirect to the SAME scheme, host and port is followed — a reverse proxy normalising a path is real and egresses nowhere new	2 hops, second path seen: true, outcome ok: true
frontier	12-redirect-egress	PASS	CONTROL: with the policy removed the canary DOES reach the third party — so the assertions above are about a real channel	3 of 5 bindings leaked
frontier	12-redirect-egress	PASS	CONTROL: it leaks for exactly the bindings `reqwest` does not protect — x-api-key, x-goog-api-key and the query string — and not for Bearer	5 of 5 bindings matched the predicted upstream behaviour
frontier	12-redirect-egress	PASS	CONTROL, AND THE REASON THE FIX REFUSES RATHER THAN STRIPS: even on the bindings upstream DOES protect, the third party still received the request — the prompt, the model id, the tool catalogue. Stripping the credential would have left that.	1028 bytes reached the unconfigured host across 5 bindings under the control; 0 under the shipping transport
frontier	13-encoded-credential-leak	PASS	B2's inversion: the endpoint's message reaches the error on NO arm — the field it used to arrive in is gone	0 of 64 arms carried the endpoint's own marker
frontier	13-encoded-credential-leak	PASS	and the peers really did send it — the premise moved upstream to the socket, where it is still answerable	64 arm-equivalents saw the marker on the wire, of 64
frontier	13-encoded-credential-leak	PASS	STRONGEST: no string in any error's serde shape is unexplained by Vela's own closed vocabulary — not 'no credential', NO ENDPOINT TEXT AT ALL	64 arms, 0 unexplained strings
frontier	13-encoded-credential-leak	PASS	the encoding peers put NO literal copy of the credential on the wire — the literal pass genuinely had nothing to match	28 of 28 encoded peers
frontier	13-encoded-credential-leak	PASS	the BRIEFED encodings are all removed — verbatim, PHP's \/, \uXXXX, and the percent form Vela writes	32 of 32 briefed arms clean
frontier	13-encoded-credential-leak	PASS	DELETION, not redaction — no `<redacted>` marker on the error surface either, because there is nothing there to mask	0 of 64 arms carry the marker
frontier	13-encoded-credential-leak	PASS	NO SPELLING OF THE CREDENTIAL REACHES ANY SURFACE — Display, Debug, the serde JSON that crosses the IPC bridge, or the StreamEvent the UI is handed	64 arms clean
frontier	14-reasoning-meets-tool-calling	PASS	streamed: emulation was entered through the endpoint's own 400	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }, UsageNotReported
frontier	14-reasoning-meets-tool-calling	PASS	streamed: the reasoning block really never closed	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }, UsageNotReported
frontier	14-reasoning-meets-tool-calling	PASS	streamed: a call recovered from a never-closed <think> is NOT executable	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	14-reasoning-meets-tool-calling	PASS	streamed: the turn does not end in ToolUse	MaxTokens
frontier	14-reasoning-meets-tool-calling	PASS	streamed: the refusal is REPORTED, not silently dropped	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	14-reasoning-meets-tool-calling	PASS	streamed: no raw tool-call markup in the answer	"I could call  but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	streamed: no raw tool-call markup on any TextDelta	"I could call  but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	streamed: MEASURED-3 still holds — the answer is not swallowed	"I could call  but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	streamed: the deliberation is kept as reasoning	"I could call <tool_call>{\"name\":\"delete_everything\",\"arguments\":{\"path\":\"/\"}}</tool_call> but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: emulation was entered through the endpoint's own 400	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: the reasoning block really never closed	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: a call recovered from a never-closed <think> is NOT executable	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: the turn does not end in ToolUse	MaxTokens
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: the refusal is REPORTED, not silently dropped	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: no raw tool-call markup in the answer	"I could call  but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: MEASURED-3 still holds — the answer is not swallowed	"I could call  but that would be destructive, so I will not."
frontier	14-reasoning-meets-tool-calling	PASS	non-streamed: the deliberation is kept as reasoning	"I could call <tool_call>{\"name\":\"delete_everything\",\"arguments\":{\"path\":\"/\"}}</tool_call> but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): emulation was entered through the endpoint's own refusal	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }, UsageNotReported
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): the reasoning block really never closed	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }, UsageNotReported
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): the endpoint really was asked in the EMULATED shape — the catalogue was prose, not a `tools` array	2 request(s) recorded by the peer
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): A CALL RECOVERED FROM A NEVER-CLOSED <think> IS NOT EXECUTABLE	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): the turn does not end in ToolUse	MaxTokens
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): the refusal is REPORTED, not silently dropped	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): no raw tool-call markup in the answer	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): no raw tool-call markup on any TextDelta	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): MEASURED-3 still holds — the answer is not swallowed	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / stream(): the deliberation is kept as reasoning	"I could call <tool_call>{\"name\":\"delete_everything\",\"arguments\":{\"path\":\"/\"}}</tool_call> but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): emulation was entered through the endpoint's own refusal	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): the reasoning block really never closed	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): the endpoint really was asked in the EMULATED shape — the catalogue was prose, not a `tools` array	2 request(s) recorded by the peer
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): A CALL RECOVERED FROM A NEVER-CLOSED <think> IS NOT EXECUTABLE	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): the turn does not end in ToolUse	MaxTokens
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): the refusal is REPORTED, not silently dropped	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): no raw tool-call markup in the answer	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): MEASURED-3 still holds — the answer is not swallowed	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	openai-compatible / complete(): the deliberation is kept as reasoning	"I could call <tool_call>{\"name\":\"delete_everything\",\"arguments\":{\"path\":\"/\"}}</tool_call> but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / stream(): the turn is refused, not silently emulated	Err(CapabilityUnsupported { capability: ToolCalling, diagnosis: Diagnosis { cause: CapabilityAbsentOnThisModel, status: None, endpoint: None, filter: None, correlation: CorrelationId(0) } })
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / stream(): NO UNSUPPORTED AFFORDANCE IS OFFERED — the refusal is not retried or failed over into one	Err(CapabilityUnsupported { capability: ToolCalling, diagnosis: Diagnosis { cause: CapabilityAbsentOnThisModel, status: None, endpoint: None, filter: None, correlation: CorrelationId(0) } })
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / stream(): no tool-call markup reached the UI on the way to refusing	""
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / stream(): emulation is structurally unreachable here — no `with_tool_emulation` call site exists on this adapter	grepped anthropic/stream.rs and anthropic/provider.rs
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / complete(): the turn is refused, not silently emulated	Err(CapabilityUnsupported { capability: ToolCalling, diagnosis: Diagnosis { cause: CapabilityAbsentOnThisModel, status: None, endpoint: None, filter: None, correlation: CorrelationId(0) } })
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / complete(): NO UNSUPPORTED AFFORDANCE IS OFFERED — the refusal is not retried or failed over into one	Err(CapabilityUnsupported { capability: ToolCalling, diagnosis: Diagnosis { cause: CapabilityAbsentOnThisModel, status: None, endpoint: None, filter: None, correlation: CorrelationId(0) } })
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / complete(): no tool-call markup reached the UI on the way to refusing	""
frontier	15-reasoning-x-tools-every-adapter	PASS	anthropic / complete(): emulation is structurally unreachable here — no `with_tool_emulation` call site exists on this adapter	grepped anthropic/stream.rs and anthropic/provider.rs
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): emulation was entered through the endpoint's own refusal	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): the reasoning block really never closed	ToolCallingEmulated { tool_count: 1 }, UnterminatedReasoning { recovered_answer_chars: 59 }, MalformedToolCalls { count: 1 }
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): the endpoint really was asked in the EMULATED shape — the catalogue was prose, not a `tools` array	6 request(s) recorded by the peer
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): A CALL RECOVERED FROM A NEVER-CLOSED <think> IS NOT EXECUTABLE	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): the turn does not end in ToolUse	MaxTokens
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): the refusal is REPORTED, not silently dropped	MALFORMED index=None id=call_emulated_0 name=delete_everything reason=RecoveredFromUnterminatedReasoning raw="{\"path\":\"/\"}"
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): no raw tool-call markup in the answer	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): no raw tool-call markup on any TextDelta	"I could call  but that would be destructive, so I will not."
frontier	15-reasoning-x-tools-every-adapter	PASS	google / stream(): MEASURED-3 still holds — the answer is not swallowed	"I could call  but that would be destructive, so I will not."
